drug_name,ndc,form,strength,mfg,acq,awp,pf,dispensed,p._update,rxcui,epc_class,drug_class
SODIUM SULFA LIQ 10% WASH,42192-0129-16,LIQD,10% WASH,ACELLA PH,35,253.4,,11/22/2024 0:00,10/16/2024,1006107,Sulfonamide Antibacterial [EPC],Facewash
SODIUM SULFA LIQ 10% WASH,42192-0129-16,LIQD,10% WASH,ACELLA PH,35,253.4,,11/22/2024 0:00,10/16/2024,1006107,Sulfonamide Antibacterial [EPC],Facewash
KETOCONAZOLE SHA 2%,45802-0465-64,SHAM,2%,TOLMAR,6.25,30.25,,11/23/2024 0:00,8/29/2024,106336,Azole Antifungal [EPC],Anti-fungal
BENZOYL PER  LIQ 10% WASH,45802-0318-34,LIQD,10% WASH,PERRIGO,6,14.16,,1/4/2023 0:00,4/13/2021,142034,unknown,Facewash
BETAMETH VAL AER 0.12%,45802-0053-02,FOAM,0.12%,PERRIGO,59.99,608.48,,5/5/2021 0:00,4/19/2021,1244634,Corticosteroid [EPC],Steroids
CALCIPOTRIEN AER 0.005%,73352-0886-60,FOAM,0.01%,TRIFLUENT,199,881.32,,1/23/2023 0:00,2/1/2022,1020035,expired,Immune Response Mod
ADAPALENE    GEL 0.3%,51672-1377-06,GEL,0.30%,TARO ,14.79,79.82,,11/23/2024 0:00,10/15/2024,722111,Retinoid [EPC],Retinoids: Exfoliant
ADAPALENE    GEL 0.3%,00472-0126-45,GEL,0.30%,ACTAV MID,0,296.99,,4/27/2021 0:00,3/4/2021,722111,Retinoid [EPC],Retinoids: Exfoliant
METRONIDAZOL CRE 0.75%,66993-0960-45,CREA,0.75%,PRASCO LAB,11.89,319.67,,11/21/2024 0:00,8/29/2024,311678,Nitroimidazole Antimicrobial [EPC],Rosacea Topical ABX
NAFTIFINE    CRE HCL 2%,51672-1368-03,CREA,HCL 2%,TARO ,74.93,534.01,,11/22/2024 0:00,4/24/2024,1246096,Allylamine Antifungal [EPC],Anti-fungal
CLOBETASOL   SHA 0.05%,50383-0979-04,SHAM,0.05%,HI-TECH,0,904.77,,4/6/2021 0:00,3/4/2021,861490,expired,Steroids
ALCLOMETASON CRE 0.05%,68462-0300-65,CREA,0.05%,GLENMARK,13.99,113.08,,3/3/2022 0:00,11/8/2021,855474,expired,Low Potency Topical Steroid
AZELAIC ACID GEL 15%,00781-7172-50,GEL,15%,SANDOZ,22.99,367.75,,11/21/2023 0:00,5/19/2023,1041518,Decreased Protein Synthesis [PE],Retinoids: Exfoliant
AUG BETAMET  CRE 0.05%,51672-1310-03,CREA,0.05%,TARO ,3.39,84.87,,11/23/2024 0:00,8/29/2024,848176,Corticosteroid [EPC],Steroids
CALCIPOTRIEN CRE 0.005%,16714-0763-01,CREA,0.01%,NORTHSTAR,36,1052.43,,11/21/2024 0:00,10/11/2024,313921,Vitamin D Analog [EPC],Keratolytic
DICLOFENAC   GEL 1%,65162-0833-66,GEL,1%,AMNEAL,0,54.82,,0:00:00,3/4/2021,855633,unknown,NSAID
CALCIPOTRIEN OIN 0.005%,66993-0878-61,OINT,0.01%,PRASCO LAB,74.99,361.89,,11/20/2024 0:00,8/29/2024,198373,Vitamin D Analog [EPC],Keratolytic
HPR PLUS     CRE,42546-0030-45,CREA,,PRUGEN,0,830,,0:00:00,3/4/2021,1948399,expired,Moisturizer
CLOTRIM/BETA LOT DIPROP,51672-1308-03,LOTN,DIPROP,TARO ,47.9,167.56,,11/21/2024 0:00,8/29/2024,308715,Azole Antifungal [EPC],Scalp (topical steroids)
DOXYCYCL HYC TAB 200MG DR,68308-0716-30,TBEC,200MG DR,MAYNE PHAR,0,1302.59,,6/21/2021 0:00,3/4/2021,1423080,Tetracycline-class Drug [EPC],ABX Orals
SOD SUL/SULF SUS 8-4%,42192-0133-16,SUSP,8-4%,ACELLA PH,24.99,493.03,,11/19/2024 0:00,5/24/2023,1010234,Sulfonamide Antibacterial [EPC],Facewash
SOD SUL/SULF LIQ 10-2%,42192-0147-08,LIQD,10-2%,ACELLA PH,33.99,432.32,,11/23/2024 0:00,2/9/2023,1000895,Sulfonamide Antibacterial [EPC],Facewash
LIDOCAINE/HC KIT 3%-0.5%,13925-0165-20,KIT,3%-0.5%,SETON PHAR,0,358.7,,0:00:00,3/4/2021,1012235,Amide Local Anesthetic [EPC],Pain Relief
